6						
#n	Ba	Mn	Sr	Ti	Zr	Mg
8.4000000e+001	2.6000000e+001	2.0600000e+002	6.2100000e+002	2.3000000e+001	2.2780000e+003	1
1.4300000e+002	1.5000000e+001	3.1700000e+002	2.3500000e+002	1.5000000e+001	2.1910000e+003	4
9.8000000e+001	1.9700000e+002	1.9500000e+002	1.2350000e+003	4.9000000e+001	5.0040000e+003	6
3.3900000e+002	4.3500000e+002	2.4200000e+002	1.3360000e+003	4.9000000e+001	7.2040000e+003	10
2.8800000e+002	1.8500000e+002	3.2900000e+002	1.2420000e+003	4.4000000e+001	5.9820000e+003	9
4.4000000e+002	1.4700000e+002	5.8800000e+002	1.1190000e+003	6.6000000e+001	1.2584000e+004	5
1.1200000e+002	2.0200000e+002	2.6900000e+002	1.1150000e+003	5.6000000e+001	6.2530000e+003	4
1.1700000e+002	8.9000000e+001	1.1790000e+003	1.0230000e+003	3.9000000e+001	8.9100000e+003	2
2.8500000e+002	2.6800000e+002	2.4900000e+002	1.2800000e+003	7.1000000e+001	1.8417000e+004	3
2.8300000e+002	2.7300000e+002	3.2100000e+002	5.9100000e+002	3.6000000e+001	4.0050000e+003	8
3.0900000e+002	1.4400000e+002	4.1300000e+002	1.1690000e+003	4.7000000e+001	7.1860000e+003	11
1.1800000e+002	1.6200000e+002	2.8100000e+002	1.2460000e+003	6.6000000e+001	6.9000000e+003	7
2.3500000e+002	3.3800000e+002	3.5200000e+002	1.2060000e+003	6.7000000e+001	9.6410000e+003	1
1.9200000e+002	1.6000000e+002	3.4500000e+002	1.1700000e+003	6.7000000e+001	9.7450000e+003	1
1.0100000e+002	1.7100000e+002	2.1000000e+002	1.1250000e+003	5.0000000e+001	4.4010000e+003	6
1.9500000e+002	1.0240000e+003	3.0200000e+002	8.2400000e+002	5.7000000e+001	5.9130000e+003	1
2.3500000e+002	3.3300000e+002	2.9500000e+002	1.4020000e+003	6.9000000e+001	2.1115000e+004	3
2.9300000e+002	1.8400000e+002	4.4900000e+002	1.2250000e+003	4.3000000e+001	7.2910000e+003	11
6.7000000e+001	1.6000000e+001	3.1200000e+002	1.7500000e+002	1.2000000e+001	1.7500000e+003	4
1.0800000e+002	8.8000000e+001	1.2530000e+003	1.0240000e+003	3.7000000e+001	8.8400000e+003	2
2.6600000e+002	1.3100000e+002	6.4000000e+002	1.2110000e+003	6.5000000e+001	1.4826000e+004	5
6.7000000e+001	1.5200000e+002	2.9300000e+002	1.0410000e+003	3.8000000e+001	6.2190000e+003	7
3.5700000e+002	6.0600000e+002	3.7000000e+002	1.2030000e+003	6.3000000e+001	7.2390000e+003	10
