6						
#n	Ba	Mn	Sr	Ti	Zr	Mg
139	268	237	1248	70	9209	H1
99	268	180	930	38	7050	H1
110	223	183	1045	52	7355	H1
194	258	148	1298	49	5301	H2
238	326	147	1452	54	4920	H2
171	358	157	1458	50	8183	H2
148	854	198	1573	45	13298	H3
151	359	194	1583	46	13682	H3
179	401	214	1747	43	15495	H3
124	318	215	1476	30	12721	H3
111	299	183	1389	31	12764	H3
103	275	179	1114	39	9867	H3
109	306	207	1542	43	14408	H3
112	312	198	1573	47	14296	H3
128	188	145	1331	49	5352	H4
127	172	141	1331	49	4901	H4
199	240	173	1527	80	5258	H4
172	229	144	1439	65	5440	H4
154	173	138	1385	61	4243	H4
146	243	134	1339	59	4261	H4
131	213	162	1239	61	5198	H4
128	255	147	1120	52	4301	H4
133	248	153	1262	49	5542	H4
133	267	156	1151	50	5152	H4
178	289	182	1664	107	6411	H5
132	213	141	1371	60	5237	H5
194	264	148	1526	66	6114	H5
148	267	150	1493	4	6016	H5
141	282	152	1582	57	6105	H5
139	279	164	1616	24	6421	H5
133	272	143	1677	68	5996	H5
133	277	147	1605	26	5562	H5
131	266	144	1587	20	5180	H5
135	387	148	1602	25	5979	H5
129	267	155	1595	15	5803	H5
158	576	152	1629	74	4170	SK
156	558	155	1562	61	7144	SK
145	588	145	1565	65	3981	SK
129	591	181	1447	70	4665	SK
116	561	161	1445	74	4316	SK
121	657	154	1457	29	4217	SK
130	746	153	1514	72	4433	SK
154	248	570	1234	39	7655	PO1
165	154	248	1414	48	5804	PO2
125	205	397	1550	74	13873	PO3
82	218	249	1342	46	10737	PO4
159	285	146	846	35	10314	PO5
239	217	488	1232	45	9197	PO6
144	212	546	1245	41	5760	PO1
109	173	404	1650	74	13070	PO3
134	132	210	1391	47	5272	PO2
126	305	141	806	34	9954	PO6
117	211	497	1282	45	8997	PO5
84	206	230	1446	58	11752	PO4
96	168	396	1502	66	14700	PO3
130	213	520	1204	39	5873	PO1
136	134	227	1313	49	5519	PO2
79	227	261	1444	53	18353	PO4
77	225	271	1530	60	18042	PO4
110	186	410	1361	49	9264	PO5
72	164	414	1178	44	8196	PO5
123	231	178	847	36	9276	PO6
146	211	209	956	46	10406	PO6
129	229	569	1247	32	6490	PO1
114	177	378	1604	58	12987	PO3
124	130	212	1378	48	5421	PO2
140	340	2041	1165	41	17728	CH
118	191	499	1491	58	10885	CH
161	355	2972	1179	39	17734	CH
98	175	423	1408	76	9369	CH
133	286	2626	1048	43	16435	CH
111	176	460	1248	47	10234	CH
76	294	524	1209	55	9818	CH
210	670	409	1093	55	10575	UK
116	517	285	1321	47	6106	UK
728	285	292	1029	35	4207	UK
101	443	757	1128	41	3928	UK
125	338	627	1307	41	5577	UK
110	363	290	1125	33	8284	UK
248	697	1354	1011	36	10849	UK
139	384	582	1294	28	4668	UK
154	446	353	987	34	9625	A
129	413	339	964	35	8744	A
147	404	349	1032	36	8687	A
156	440	358	1005	31	8561	A
153	423	359	987	31	8380	A
155	435	365	1000	31	8707	A
157	424	361	1022	34	8425	A
155	458	357	1032	33	8387	A
182	333	185	1767	51	9458	A
140	299	1077	1245	45	8262	A
273	379	614	1203	26	8204	SLO
294	376	661	1298	28	7992	SLO
261	371	643	1447	43	8387	SLO
242	401	644	1402	40	8524	SLO
248	397	692	1376	40	8766	SLO
264	354	616	1245	36	8573	SLO
84	26	206	621	23	2278	ES1
143	15	317	235	15	2191	ES4
98	197	195	1235	49	5004	ES6
339	435	242	1336	49	7204	ES10
288	185	329	1242	44	5982	ES9
440	147	588	1119	66	12584	ES5
112	202	269	1115	56	6253	ES4
117	89	1179	1023	39	8910	ES2
285	268	249	1280	71	18417	ES3
283	273	321	591	36	4005	ES8
309	144	413	1169	47	7186	ES11
118	162	281	1246	66	6900	ES7
235	338	352	1206	67	9641	ES1
192	160	345	1170	67	9745	ES1
101	171	210	1125	50	4401	ES6
195	1024	302	824	57	5913	ES1
235	333	295	1402	69	21115	ES3
293	184	449	1225	43	7291	ES11
67	16	312	175	12	1750	ES4
108	88	1253	1024	37	8840	ES2
266	131	640	1211	65	14826	ES5
67	152	293	1041	38	6219	ES7
357	606	370	1203	63	7239	ES10
182	208	445	1177	67	9233	ES1
181	247	318	761	13	4284	ES8
442	185	301	1335	48	6114	ES9
47	27	214	723	36	2202	ES1
121	213	288	1379	38	4826	ES4
275	125	282	1114	59	6213	ES1
257	1430	352	708	41	4333	ES1
57	18	287	446	25	1631	ES4
98	136	162	1219	49	3639	ES6
155	136	471	1125	58	11204	ES7
208	398	341	1424	75	22385	ES3
107	106	1389	1137	53	10861	ES2
160	132	484	1130	60	11343	ES5
99	211	315	1333	52	5882	ES4
254	171	405	1404	49	6721	ES9
334	662	320	1238	69	8160	ES10
239	186	516	1326	46	9157	ES11
187	131	460	1151	53	9078	ES1
228	1152	273	700	56	6615	ES1
80	29	189	630	32	2274	ES1
94	76	1243	1023	36	10204	ES2
278	581	332	1519	46	22061	ES3
90	165	239	1153	44	8229	ES4
57	14	298	305	15	1751	ES4
214	113	705	1107	66	13769	ES5
82	134	179	1036	39	3740	ES6
101	167	272	1267	53	10027	ES7
251	169	411	1378	46	6614	ES9
331	637	312	1190	61	7834	ES10
232	174	493	1275	46	8702	ES11
146	428	1024	853	18	2693	SA1
569	3003	49	1178	32	15265	SA2
485	7020	213	1052	41	24292	SA3
207	584	2090	25	30	5356	SA4
210	610	2126	1176	9	5358	SA4
122	264	2934	804	15	5680	SA5
209	1567	56	1492	81	10334	SA
558	6566	179	1126	73	23225	SA3
604	2933	19	1242	63	15838	SA2
155	451	1192	943	30	3165	SA
136	210	3107	903	47	6723	SA5
195	509	2296	1224	18	5659	SA4
193	490	2298	1252	45	5420	SA4
143	222	3290	947	46	6615	SA
191	497	2274	1208	32	5523	SA4
407	6638	164	1136	33	24125	SA3
232	1855	57	1691	59	12850	SA
165	491	3484	805	31	6314	SA5
449	4519	168	957	68	20973	SA3
