3						
#n	pH(k)	F(k)	pH(k+1)
  6.9146383e+000	  5.1892980e+002	  6.9749912e+000	
  6.9749912e+000	  5.1892980e+002	  7.0365640e+000	
  7.0365640e+000	  5.1892980e+002	  7.0995726e+000	
  7.0995726e+000	  5.1892980e+002	  7.1642814e+000	
  7.1642814e+000	  5.1892980e+002	  7.2310180e+000	
  7.2310180e+000	  5.1731292e+002	  7.2496129e+000	
  7.2496129e+000	  5.1731292e+002	  7.2668021e+000	
  7.2668021e+000	  5.1731292e+002	  7.2826417e+000	
  7.2826417e+000	  5.1731292e+002	  7.2971935e+000	
  7.2971935e+000	  5.1731292e+002	  7.3105236e+000	
  7.3105236e+000	  5.1731292e+002	  7.3227014e+000	
  7.3227014e+000	  5.1731292e+002	  7.3337979e+000	
  7.3337979e+000	  5.1731292e+002	  7.3438849e+000	
  7.3438849e+000	  5.1731292e+002	  7.3530337e+000	
  7.3530337e+000	  5.1731292e+002	  7.3613145e+000	
  7.3613145e+000	  5.1731292e+002	  7.3687952e+000	
  7.3687952e+000	  5.1731292e+002	  7.3755413e+000	
  7.3755413e+000	  5.1731292e+002	  7.3816152e+000	
  7.3816152e+000	  5.1731292e+002	  7.3870756e+000	
  7.3870756e+000	  5.1731292e+002	  7.3919781e+000	
  7.3919781e+000	  5.1731292e+002	  7.3963742e+000	
  7.3963742e+000	  5.1731292e+002	  7.4003118e+000	
  7.4003118e+000	  5.1731292e+002	  7.4038354e+000	
  7.4038354e+000	  5.1731292e+002	  7.4069856e+000	
  7.4069856e+000	  5.1731292e+002	  7.4097996e+000	
  7.4097996e+000	  5.1839110e+002	  7.4611372e+000	
  7.4611372e+000	  5.1839110e+002	  7.5123370e+000	
  7.5123370e+000	  5.1839110e+002	  7.5633714e+000	
  7.5633714e+000	  5.1865940e+002	  7.6328009e+000	
  7.6328009e+000	  5.1865940e+002	  7.7051120e+000	
  7.7051120e+000	  5.1865940e+002	  7.7808916e+000	
  7.7808916e+000	  5.1865940e+002	  7.8608699e+000	
  7.8608699e+000	  5.1836523e+002	  7.9059464e+000	
  7.9059464e+000	  5.1836523e+002	  7.9500202e+000	
  7.9500202e+000	  5.1836523e+002	  7.9929657e+000	
  7.9929657e+000	  5.1836523e+002	  8.0346509e+000	
  8.0346509e+000	  5.1836523e+002	  8.0749406e+000	
  8.0749406e+000	  5.1836523e+002	  8.1137011e+000	
  8.1137011e+000	  5.1836523e+002	  8.1508046e+000	
  8.1508046e+000	  5.1836523e+002	  8.1861349e+000	
  8.1861349e+000	  5.1836523e+002	  8.2195930e+000	
  8.2195930e+000	  5.1836523e+002	  8.2511017e+000	
  8.2511017e+000	  5.1836523e+002	  8.2806094e+000	
  8.2806094e+000	  5.1836523e+002	  8.3080924e+000	
  8.3080924e+000	  5.1836523e+002	  8.3335550e+000	
  8.3335550e+000	  5.1836523e+002	  8.3570284e+000	
  8.3570284e+000	  5.1836523e+002	  8.3785679e+000	
  8.3785679e+000	  5.1836523e+002	  8.3982492e+000	
  8.3982492e+000	  5.1836523e+002	  8.4161635e+000	
  8.4161635e+000	  5.1836523e+002	  8.4324137e+000	
  8.4324137e+000	  5.1836523e+002	  8.4471097e+000	
  8.4471097e+000	  5.1836523e+002	  8.4603650e+000	
  8.4603650e+000	  5.1836523e+002	  8.4722932e+000	
  8.4722932e+000	  5.1556469e+002	  7.8838538e+000	
  7.8838538e+000	  5.1556469e+002	  7.6510015e+000	
  7.6510015e+000	  5.1556469e+002	  7.5138689e+000	
  7.5138689e+000	  5.1556469e+002	  7.4201229e+000	
  7.4201229e+000	  5.1556469e+002	  7.3510026e+000	
  7.3510026e+000	  5.1556469e+002	  7.2976642e+000	
  7.2976642e+000	  5.1556469e+002	  7.2552381e+000	
  7.2552381e+000	  5.1556469e+002	  7.2207589e+000	
  7.2207589e+000	  5.1556469e+002	  7.1922881e+000	
  7.1922881e+000	  5.1556469e+002	  7.1684896e+000	
  7.1684896e+000	  5.1556469e+002	  7.1484047e+000	
  7.1484047e+000	  5.1556469e+002	  7.1313231e+000	
  7.1313231e+000	  5.1556469e+002	  7.1167043e+000	
  7.1167043e+000	  5.1831676e+002	  7.1666760e+000	
  7.1666760e+000	  5.1831676e+002	  7.2163772e+000	
  7.2163772e+000	  5.1831676e+002	  7.2657751e+000	
  7.2657751e+000	  5.1831676e+002	  7.3148328e+000	
  7.3148328e+000	  5.1831676e+002	  7.3635089e+000	
  7.3635089e+000	  5.1831676e+002	  7.4117575e+000	
  7.4117575e+000	  5.1831676e+002	  7.4595274e+000	
  7.4595274e+000	  5.1831676e+002	  7.5067621e+000	
  7.5067621e+000	  5.1831676e+002	  7.5533993e+000	
  7.5533993e+000	  5.1831676e+002	  7.5993709e+000	
  7.5993709e+000	  5.1831676e+002	  7.6446025e+000	
  7.6446025e+000	  5.1831676e+002	  7.6890143e+000	
  7.6890143e+000	  5.1804173e+002	  7.7087847e+000	
  7.7087847e+000	  5.1804173e+002	  7.7270919e+000	
  7.7270919e+000	  5.1804173e+002	  7.7439882e+000	
  7.7439882e+000	  5.1804173e+002	  7.7595328e+000	
  7.7595328e+000	  5.1804173e+002	  7.7737908e+000	
  7.7737908e+000	  5.1804173e+002	  7.7868311e+000	
  7.7868311e+000	  5.1804173e+002	  7.7987257e+000	
