5							
#n	DRF4PFI791.PV	DRF4HFIC41.PV	DRF4HTI43.PVA	DKGUFAI502X.PV	DRF4UTI744.PVA  
1.6944326e+002	  1.0985610e+002	  2.7163677e+002	  3.4940160e+004	 -3.1047957e+000	
  1.6688168e+002	  1.1003318e+002	  2.7165936e+002	  3.4895845e+004	 -3.0622480e+000	
  1.6841474e+002	  1.0997746e+002	  2.7168194e+002	  3.4618716e+004	 -3.0197002e+000	
  1.6840737e+002	  1.0990372e+002	  2.7170453e+002	  3.4515940e+004	 -2.9771524e+000	
  1.6715382e+002	  1.1005694e+002	  2.7172712e+002	  3.4784887e+004	 -2.9346047e+000	
  1.6766423e+002	  1.1022206e+002	  2.7174970e+002	  3.4867534e+004	 -2.8920569e+000	
  1.6648306e+002	  1.1000170e+002	  2.7177213e+002	  3.4932122e+004	 -2.8495091e+000	
  1.6818189e+002	  1.0971546e+002	  2.7179036e+002	  3.5085175e+004	 -2.7818554e+000	
  1.6046528e+002	  1.0532534e+002	  2.7180671e+002	  3.4980576e+004	 -2.4725125e+000	
  1.6121272e+002	  1.0514502e+002	  2.7182306e+002	  3.5113642e+004	 -2.1025865e+000	
  1.6105481e+002	  1.0500415e+002	  2.7183941e+002	  3.5271478e+004	 -1.7326604e+000	
  1.6361562e+002	  1.0504542e+002	  2.7185576e+002	  3.5716106e+004	 -1.3627344e+000	
  1.6203746e+002	  1.0505606e+002	  2.7187211e+002	  3.5351380e+004	 -9.9280836e-001	
  1.6069556e+002	  1.0492771e+002	  2.7188847e+002	  3.5097193e+004	 -6.2288231e-001	
  1.5701268e+002	  1.0482103e+002	  2.7190482e+002	  3.4920638e+004	 -2.5295626e-001	
  1.6125949e+002	  1.0483527e+002	  2.7192117e+002	  3.5081419e+004	 -1.7633190e-001	
  1.6169691e+002	  1.0494638e+002	  2.7193619e+002	  3.5396507e+004	 -5.3994521e-001	
  1.6351820e+002	  1.0496106e+002	  2.7191583e+002	  3.6090891e+004	 -9.0789185e-001	
  1.6294058e+002	  1.0489946e+002	  2.7187971e+002	  3.5665917e+004	 -1.2758385e+000	
  1.6354497e+002	  1.0521203e+002	  2.7184359e+002	  3.5488395e+004	 -1.6435678e+000	
  1.6455987e+002	  1.0513508e+002	  2.7180747e+002	  3.5241514e+004	 -1.9403225e+000	
  1.6742671e+002	  1.0502854e+002	  2.7177135e+002	  3.5514314e+004	 -2.1803641e+000	
  1.6700020e+002	  1.0509146e+002	  2.7173523e+002	  3.5999051e+004	 -2.4204057e+000	
  1.7088591e+002	  1.0510622e+002	  2.7169911e+002	  3.6500383e+004	 -2.6604473e+000	
  1.6927377e+002	  1.0504210e+002	  2.7166299e+002	  3.6619494e+004	 -2.8275777e+000	
  1.6866737e+002	  1.0503309e+002	  2.7162687e+002	  3.6228132e+004	 -2.7361573e+000	
  1.6779527e+002	  1.0504386e+002	  2.7159060e+002	  3.6296240e+004	 -2.6219915e+000	
  1.6726787e+002	  1.0489966e+002	  2.7155046e+002	  3.6363867e+004	 -2.5078257e+000	
  1.6982294e+002	  1.0505519e+002	  2.7150859e+002	  3.6432857e+004	 -2.3934332e+000	
  1.7049950e+002	  1.0516327e+002	  2.7146672e+002	  3.6539528e+004	 -2.2050514e+000	
  1.6961201e+002	  1.0507817e+002	  2.7142485e+002	  3.6177891e+004	 -1.9575464e+000	
  1.6978939e+002	  1.0498129e+002	  2.7138298e+002	  3.6239902e+004	 -1.7100414e+000	
  1.7096298e+002	  1.0474460e+002	  2.7134111e+002	  3.6197942e+004	 -1.3877326e+000	
  1.7182431e+002	  1.0547230e+002	  2.7129924e+002	  3.6502243e+004	  5.7187453e-002	
  1.7299050e+002	  1.0465433e+002	  2.7125736e+002	  3.7162562e+004	  1.9544667e+000	
  1.7343066e+002	  1.0509605e+002	  2.7121549e+002	  3.7475246e+004	  5.2827695e+000	
  1.7631203e+002	  1.0494128e+002	  2.7117510e+002	  3.7835874e+004	  5.9904732e+000	
  1.7827074e+002	  1.0471422e+002	  2.7117392e+002	  3.7959296e+004	  4.9389774e+000	
  1.7628697e+002	  1.0492525e+002	  2.7119022e+002	  3.8202382e+004	  3.8746901e+000	
  1.7554518e+002	  1.0514331e+002	  2.7120652e+002	  3.7814619e+004	  3.0626411e+000	
  1.7696805e+002	  1.0495120e+002	  2.7122281e+002	  3.7517733e+004	  2.3138294e+000	
  1.8113787e+002	  1.0492339e+002	  2.7123911e+002	  3.9003859e+004	  1.5650177e+000	
  1.8149094e+002	  1.0499364e+002	  2.7125541e+002	  3.7798939e+004	  8.1620595e-001	
  1.7902863e+002	  1.0520866e+002	  2.7127170e+002	  3.8115551e+004	  6.7394249e-002	
  1.7842334e+002	  1.0482092e+002	  2.7130972e+002	  3.8978528e+004	 -5.7086285e-001	
  1.7876603e+002	  1.0487364e+002	  2.7138035e+002	  3.8050324e+004	 -8.1708192e-001	
  1.7854088e+002	  1.0494419e+002	  2.7145130e+002	  3.8346131e+004	 -1.0288873e+000	
  1.7914366e+002	  1.0483477e+002	  2.7152225e+002	  3.8204443e+004	 -1.2652032e+000	
  1.7974825e+002	  1.0488295e+002	  2.7159321e+002	  3.7700651e+004	 -1.5211041e+000	
  1.7886176e+002	  1.0533795e+002	  2.7166416e+002	  3.7742329e+004	 -1.7770050e+000	
  1.8695473e+002	  1.0817942e+002	  2.7173511e+002	  3.7848888e+004	 -2.0329058e+000	
  1.8784872e+002	  1.1004197e+002	  2.7179469e+002	  3.9132694e+004	 -2.2888067e+000	
  1.8961355e+002	  1.0994702e+002	  2.7182402e+002	  3.8086954e+004	 -2.5447075e+000	
  1.9036632e+002	  1.0993430e+002	  2.7185171e+002	  3.8277957e+004	 -2.8006084e+000	
  1.9105063e+002	  1.1003790e+002	  2.7187940e+002	  3.7877730e+004	 -3.0565093e+000	
  1.8969261e+002	  1.1024652e+002	  2.7190710e+002	  3.7785378e+004	 -2.8266796e+000	
